,id,kills,assists,arrow_accuracy,kit,position
0,xPanth,3,0,,Knight,3
1,AgentAgate,2,0,0.43,Farmer,2
2,samyraj,2,0,,Scout,8
3,Typhooneater,1,0,,Knight,10
4,Icyad10,1,0,0.4,Knight,4
5,CaterpillarHuntr,1,0,,Cannoneer,9
6,bakimoon,0,0,,Knight,6
7,tchpol,0,1,,Knight,5
8,vfil,0,0,,Knight,12
9,zon146,0,0,,Armorsmith,11
10,wittslayer8,0,1,,Batguy,7
11,_LxG,3,2,0.33,Scout,3
12,xdieno,2,0,,Knight,8
13,laavalamp_,2,0,,Knight,5
14,GetAngryNow_,1,0,0.21,Knight,2
15,X648,0,0,,Armorer,6
16,_Natty_,0,0,,Frog,4
17,Alex_Hashtag,0,1,1.0,Armorsmith,9
18,ITsRaira,0,0,,Scout,10
19,Uzer00,0,0,,Knight,7
20,Luczinho,0,0,,Scout,12
21,WiredWolfy_,0,0,,Jester,11
22,Reserviste,4,0,,Scout,1
23,R_o_t_h,2,0,,Knight,3
24,apex_fox,1,0,0.0,Knight,10
25,_MrFree,0,0,,Scout,4
26,ItamarEilon,0,0,,Enderman,8
27,RevisoryHalo189,0,0,,Pharaoh,5
28,Yiwu,0,0,,Speleologist,6
29,Nxkx,0,0,0.5,Armorer,2
30,SwetlessNoob,0,0,,Frog,12
31,iinsidee,0,1,,Scout,11
32,melluwLovesTechn,0,1,0.5,Knight,7
33,FinnMurphy2003,5,0,,Scout,2
34,Fitey,2,0,,Armorer,5
35,kubawara,1,0,,Scout,7
36,Skeleterno,1,0,,Baseball Player,1
37,Arthurlava,1,1,,Pro,3
38,SubToAferek,0,0,,Scout,12
39,gvnP,0,0,,Scout,8
40,Ureaka,0,0,,Knight,6
41,vfil,0,0,,Knight,11
42,pisco1,0,0,0.0,Ecologist,9
43,ShanGaming,0,0,,Knight,4
44,harrym2012,6,0,,Scout,1
45,_Spirit_of_Fire_,2,0,,Scout,2
46,bot_o_prot_427,1,0,,Knight,3
47,wtfNat,1,0,,Ecologist,8
48,qussy_2,1,0,0.67,Knight,6
49,fake_babou,0,0,,Knight,11
50,Mii_Channel,0,0,0.46,Enderchest,4
51,pepperoniWITHAK,0,0,,Enderman,10
52,Bule_Jay,0,1,0.38,Pro,5
53,RaKaSaMa,0,0,,Knight,9
54,dbyrne06,0,0,,Knight,12
55,HarryC2000,6,0,,Salmon,1
56,styposeure461,2,0,,Scout,10
57,Limtree,1,1,,Knight,5
58,Purpleep,1,0,,Scout,11
59,Pancracio25,1,0,,Knight,6
60,TripleSkateMafia,0,1,,Farmer,8
61,mr_lowd,0,1,,Armorer,3
62,Kirbysin,0,1,,Farmer,9
63,NoFortuneFound,0,1,,Armorer,4
64,yurse,0,0,,Pro,12
65,Blinged,0,1,,Pharaoh,2
66,wqlseley,4,1,,Scout,1
67,Sorroish,3,0,,Knight,3
68,LegendLipton,1,1,,Armorer,4
69,DJkontertron,1,0,,Pharaoh,6
70,SupremeWildBlaze,1,0,,Knight,7
71,Ajlod_Ajlod,1,0,,Ecologist,5
72,SamanthaBoi,0,0,0.25,Enderman,8
73,unagutierez,0,0,,Armorer,10
74,DctrDanger,0,0,,Scout,11
75,chenpro15,0,0,,Scout,12
76,Blinged,0,2,,Pharaoh,2
77,SamsonTV_,4,0,,Knight,2
78,Shivvyplayz,2,0,,Armorsmith,4
79,NoobLP,1,0,0.0,Frog,5
80,Valamar,1,0,,Knight,3
81,MMwizard69,0,0,0.71,None,8
82,Comicly_,0,0,,Ecologist,12
83,KnockbackNoob,0,0,,Knight,11
84,TheBlairite,0,0,,Armorer,10
85,carbbo,0,0,,Armorer,7
86,SlyFoxzz,0,0,,Pro,9
87,IceyPlays,0,0,,None,1
88,Pancracio25,6,0,0.31,Knight,2
89,She_Take_The_L,2,1,0.5,Armorer,1
90,BoSSSSSSSSSS,1,0,,Speleologist,7
91,Tontwan,1,0,,Armorer,3
92,pisco1,1,0,,Knight,9
93,oLuckyL,0,0,,Farmer,6
94,birchsappling,0,0,,Enderman,12
95,BabiBobi,0,0,,Scout,11
96,iusesdiablo,0,0,0.33,Armorer,8
97,NcExzz,0,1,,Ecologist,5
98,ViperHRM21,0,0,0.0,Armorer,4
99,JCDABESTBRO,3,1,0.17,Knight,2
100,freddy600,2,0,,Scout,4
101,Snoqy,2,0,,Scout,1
102,swiftpots,1,0,,Farmer,3
103,Max_Martin,1,0,,Scout,10
104,urfavefemboy,1,0,,Armorer,6
105,TheSus52,0,0,0.0,Enderman,5
106,Scithel,0,0,0.0,Armorer,11
107,Kanelinha,0,0,,Scout,12
108,SpeedwasKEY,0,0,,Knight,8
109,xXezboyzeXx,0,0,,Farmer,9
110,JustRotem,5,0,0.29,Knight,1
111,MickMac09,2,0,,Scout,3
112,LABYMODK1NGGG,2,0,,Armorer,4
113,MarcusIsGood,1,0,0.19,Knight,5
114,Rqdd,0,0,,Farmer,11
115,Icewolf0518,0,0,,Scout,8
116,LaImyy_,0,0,,Scout,10
117,InL0v3,0,0,,Knight,7
118,Yiton,0,0,,Armorer,2
119,dqtl,0,0,,Scout,12
120,do_not_click,0,0,,Farmer,6
121,Metascov,3,0,,Armorer,2
122,fadz1k_kox,2,0,,Scout,1
123,Icewolf0518,1,0,,Scout,3
124,NotJebe,1,0,,Knight,7
125,Invisdude,1,0,,Energix,8
126,zonexion,1,1,,Pro,6
127,YungSoloBolo,1,0,,Knight,5
128,kanatuinen,0,0,,Cannoneer,12
129,Nodulated,0,0,,Farmer,11
130,WhiteGramps,0,0,,Pro,4
131,Caelan69420,0,0,,Knight,10
132,MasterofDoom,3,0,0.0,Knight,3
133,Rqdd,2,1,,Farmer,2
134,rocketship90,2,0,,Cactus,1
135,DOOOOOOOOOOORITO,2,0,,Farmer,8
136,_notdolphin,1,0,,Pharaoh,4
137,zonexion,0,0,,Pro,7
138,fixhypixellag,0,0,,Scout,12
139,Nodulated,0,0,,Farmer,9
140,creejud,0,0,,Knight,10
141,ImmortalShadowZ,0,0,,Knight,5
142,Inbar2,0,0,0.1,Enderman,6
143,w0rs1,3,0,,Scout,1
144,DarkBrezze,2,0,1.0,Armorer,6
145,Ilqy,1,0,,Ecologist,7
146,FroZenLightz,1,1,,Scout,4
147,Cr0w_12,1,0,1.0,Knight,5
148,Aly_x,1,1,1.0,Knight,3
149,JZBallin,1,0,0.4,Knight,2
150,elephantlump123,0,0,,Frog,9
151,May_Rin,0,0,,Scout,10
152,MagicBlackDimond,0,0,,Scout,8
153,Tayeor_,0,0,,Scout,12
154,Mamantlous,3,0,0.0,Scout,1
